artifact,role,status,sha256,evidence_note
research/HANOI_HUST_V3_PREACCESS_FREEZE.json,pre-access metadata freeze,verified,c5c0a97de8584d6c38469a8c1cca630fb0fb84e2a7d01a4743fb252bb52d74d6,committed before numeric source access
research/HANOI_HUST_V3_ARCHIVE_FREEZE.json,opaque archive metadata freeze,verified,d1d0cf9119d546bf9db577a9530af1e124abac47db36ef11acf049b6c3539728,committed archive freeze
research/HANOI_HUST_SOURCE_ACCESS_FREEZE.json,source access registry,verified,15af6d1542fdd98714ee3af548a1aadddea9ec20364c60f13758ed558c8f60e3,generated after the original archive freeze
src/run_hanoi_hust_compound_confirmation.py,compound confirmation runner,retrospective,8fa7c852926e87fbd9b8745c5cb66b65178a819dbfe56dc141bbddf02487a027,created after original freeze commit
results/confirmation/hanoi_hust_compound_confirmation.json,compound confirmation result,retrospective,31498444b6c80c507403d8f5a9377f227852e0716af13eaf970fd62c10fc48fa,generated after confirmation runner
results/audits/hanoi_hust_source_registry.json,registry linking freeze and results,verified,9f86c093271e81f8f8c66039c3452f2fb139a2e40456c4e5e9256f4ce872979a,hashes synchronized on 2026-07-30
results/analysis/hanoi_hust_source_bearing_level_audit.json,bearing-level metric audit,verified,generated by audit script,19-bearing aggregate of saved source predictions
results/analysis/hanoi_hust_source_bearing_level_predictions.npz,bearing-level grouped predictions,verified,7f23e13a3ab743f13ee48cf58b64d03bd726a98975cb95033676256307ab7755,grouped predictions and targets for reproducible metrics
results/g2/split_manifests/hanoi_hust_g2_manifests.json,G2 split manifests,verified,d35c20d17cf8a2f34a08d350b3cf300c1c2e702e7257caa057fd56234fc181a3,100 record-grouped and 100 bearing-grouped plus 100 descriptive window-random manifests with nested inner splits
results/g2/hanoi_hust_record_grouped_fixed_prespecified.json,G2 record-grouped fixed cell,verified,83e828835451b3d91ee15d502e329fc366013bd7d3b47327cda6932bab596ab8,100 splits with all outer candidate metrics
results/g2/hanoi_hust_record_grouped_nested_selection.json,G2 record-grouped nested cell,verified,7b49bf594d440be62da4a2690118b799e8e9829f12fe30e60c1981c961d4483d,100 splits with inner and all outer candidate metrics
results/g2/hanoi_hust_bearing_grouped_fixed_prespecified.json,G2 bearing-grouped fixed cell,verified,6a9bf688f899c4a4a21e1c4ee74c10105c764434ea55822589f6ba43c09df37a,100 leakage-safe splits with all outer candidate metrics
results/g2/hanoi_hust_bearing_grouped_nested_selection.json,G2 bearing-grouped nested cell,verified,1768f2dde94d97d672dc7e44bdfa802f47069dcfec6490c9261ea95cd2aaf1c9,100 splits with inner and all outer candidate metrics
results/g2/hanoi_hust_window_random_fixed_prespecified.json,G2 window-random fixed descriptive cell,verified,529cf9d753a8acf43bc7994c40539eba1e12f88ca0c6096815f5e74145eb51be,100 descriptive leakage-sensitivity splits
results/g2/hanoi_hust_window_random_nested_selection.json,G2 window-random nested descriptive cell,verified,15d4e14d87732127ccee799c7eba994c302efd689df0e3e514a7a2d6b395700e,100 descriptive leakage-sensitivity splits
results/g2/protocol_cell_metrics.json,G2 protocol summary,verified,387a32317750f99bfa1a3bef3e283a954092e3cee54c23374f7cc854845d5b4a,paired hierarchy effects, selection entropy, rank stability, regret, unit bootstrap, permutation/Holm, and descriptive window cell
results/g2/primary_paired_split.json,G2 pre-specified paired primary split,verified,d66398ac73a6fc3844919d5a59c880719783a5f0ce59292758494dff66f51805,common five-bearing exact sign-permutation audit
results/g2/g2_main_table.csv,G2 generated main table,verified,a9aaee442646afdb0a85f3045a45d9f904fab77526d0baca21b24c5a3fb7e586,reconstructed from frozen cell JSON files
results/g2/g2_main_table_audit.json,G2 main table audit,verified,afecd4d8f971bf03a503b517363b3705e34bd4eea7111e7121bf8eaea1303775,all six cells, hashes, paired split, and table reconstruction passed
artifacts/hanoi_hust_window/source_window_features.npz,window-level source feature cache,verified,6ebfb4c7cf5b68ed40825be7584f1bd9f6709df1d593e0b3c1213f5e74f352d6,1541 rows bound to 57 records and 19 bearings
artifacts/hanoi_hust_window/source_window_features_metadata.json,window-level cache metadata,verified,03f7e6c1bb785a2f53f01a2373fd9616dd1725944654cc9bbc8e77006f1557ba,source-only cache with information boundary
research/HANOI_HUST_20260727/HANOI_HUST_DSP_doublecolumn_draft_20260728.tex,manuscript draft,current,local file,manuscript under revision
research/HANOI_HUST_AS_G3_BASELINE_QUALIFICATION_20260730.md,G3 baseline qualification matrix,verified,local document,R1/R2/R3 status and main-table entry rules
artifacts/hanoi_hust_window/source_window_waveforms.npy,raw source window cache,verified,32f9c0837d80fdf9d89a9fcb229cf7f97bb459cb955e0461f28584e49b563b91,1541 source windows x 51200 samples for neural baselines
artifacts/hanoi_hust_window/source_window_waveforms_metadata.json,raw window cache metadata,verified,81e4e4d8416f71335e6278f28eaee950fce5b96031b8229f584c08dc89791e9c,source-only provenance and unit bindings
results/g3/hanoi_hust_random_forest_bearing_grouped.json,G3 Random Forest result,verified,db1a9f932ecfc4a0277a8606b09ceac8a87eaceab4a0d26ea18e3045750ac6ca,100 bearing-grouped source-only splits
results/g3/unit_level_predictions/hanoi_hust_random_forest_bearing_grouped.npz,G3 Random Forest unit predictions,verified,5dc42bfb898006c47cf94aaa60b5abacf34ea2ed5bcb02dc8263aa6bbb902ae6,axis-level predictions for RF audit
results/g3/hanoi_hust_minirocket_bearing_grouped.json,G3 MiniROCKET result,verified,f8ff93a408246988d2085539ad4118498fed7a7fce8d55eeb641f5dc3959c888,100 bearing-grouped source-only splits; 1000 kernels; downsampled raw waveform
results/g3/unit_level_predictions/hanoi_hust_minirocket_bearing_grouped.npz,G3 MiniROCKET unit predictions,verified,dcf3da14a68e4b915d6911d3ac2fd59d29bb769442616ff817a0b69a6f343120,physical-bearing predictions for audit
research/HANOI_HUST_AS_G3_MINIROCKET_AUDIT_20260730.md,G3 MiniROCKET audit,verified,local document,explicit downsampling and negative-comparator decision
research/HANOI_HUST_AS_G3_EXTERNAL_LOCKBOX_QUALIFICATION_20260730.md,G3 external lockbox qualification,pending,local document,metadata-only candidate registry; no external waveform loaded
results/g3/hanoi_hust_wdcnn_bearing_grouped.json,G3 WDCNN result,verified,35817557268e69a15ee6d4a901b5d88184aaab83b15e2c6f323c7927ef615f1c,100 bearing-grouped source-only splits; 3 epochs; negative comparator
results/g3/unit_level_predictions/hanoi_hust_wdcnn_bearing_grouped.npz,G3 WDCNN unit predictions,verified,72ad6f21edd604a52640076569394f2579ed02a43f03c9d9e68a0252cf9e877c,physical-bearing predictions for audit
research/HANOI_HUST_AS_G3_WDCNN_AUDIT_20260730.md,G3 WDCNN audit,verified,local document,architecture, budget, metrics, and negative-result decision
results/g3/hanoi_hust_resnet1d_bearing_grouped.json,G3 ResNet1D result,verified,9cb72fce34e0bc6de0c0c3ccd92914a23bfa183626a4b6ea45b095b57206f263,100 bearing-grouped source-only splits; 3 epochs; negative comparator
results/g3/unit_level_predictions/hanoi_hust_resnet1d_bearing_grouped.npz,G3 ResNet1D unit predictions,verified,617553a304e4d5ae9ffbe6c4319a1bd0e00c4e1cceba9b7b48db543916de3119,physical-bearing predictions for audit
